Entity,Code,Year,Oil Production - TWh
OECD,,1990,10666.096934487
OECD,,1991,10952.559044201002
OECD,,1992,11071.701066138
OECD,,1993,11078.879394051
OECD,,1994,11546.383644788
OECD,,1995,11712.83821052
OECD,,1996,12113.72665978
OECD,,1997,12281.119820010004
OECD,,1998,12253.500116800002
OECD,,1999,12026.84458196
OECD,,2000,12121.11702469
OECD,,2001,11972.80261197
OECD,,2002,12002.63370153
OECD,,2003,11860.74099102
OECD,,2004,11641.65584186
OECD,,2005,11101.262482747
OECD,,2006,10836.833815083
OECD,,2007,10670.989304490002
OECD,,2008,10343.909281379
OECD,,2009,10363.195046378
OECD,,2010,10454.480222427
OECD,,2011,10538.40696722
OECD,,2012,11093.35383968
OECD,,2013,11727.093055
OECD,,2014,12742.05689003
OECD,,2015,13268.932164000002
OECD,,2016,12874.05190067
OECD,,2017,13245.13605589
OECD,,2018,14506.035488570002
OECD,,2019,15393.885668190002
OECD,,2020,14902.12394608
Oman,OMN,1967,32.830685215630005
Oman,OMN,1968,139.19074354580002
Oman,OMN,1969,188.3444572964
Oman,OMN,1970,191.2243419777
Oman,OMN,1971,169.33721846960003
Oman,OMN,1972,162.87049664590003
Oman,OMN,1973,168.76124155660003
Oman,OMN,1974,167.03331070130002
Oman,OMN,1975,196.408134311
Oman,OMN,1976,211.96266757660004
Oman,OMN,1977,195.832157398
Oman,OMN,1978,180.8567570785
Oman,OMN,1979,169.9131953826
Oman,OMN,1980,164.18194464080003
Oman,OMN,1981,189.6523220883
Oman,OMN,1982,194.2601376249
Oman,OMN,1983,224.7869150606
Oman,OMN,1984,241.3636998565
Oman,OMN,1985,288.3002887825
Oman,OMN,1986,324.0108586678
Oman,OMN,1987,337.4142390979
Oman,OMN,1988,359.70819489240006
Oman,OMN,1989,372.8606540020001
Oman,OMN,1990,398.2036391044
Oman,OMN,1991,410.7192206897
Oman,OMN,1992,430.7474540764
Oman,OMN,1993,451.0917279448001
Oman,OMN,1994,470.4649107692
Oman,OMN,1995,497.8476486587
Oman,OMN,1996,515.9607084227
Oman,OMN,1997,522.3028348
Oman,OMN,1998,519.9989270317001
Oman,OMN,1999,519.8326198925
Oman,OMN,2000,546.8980700991
Oman,OMN,2001,545.3919432311
Oman,OMN,2002,511.8564194348
Oman,OMN,2003,467.8142150089
Oman,OMN,2004,446.9356202126
Oman,OMN,2005,441.9325552881001
Oman,OMN,2006,420.7687371841001
Oman,OMN,2007,405.1640739665
Oman,OMN,2008,431.1352545656
Oman,OMN,2009,461.2415605161
Oman,OMN,2010,490.8049141016001
Oman,OMN,2011,502.5687513275001
Oman,OMN,2012,523.3462968917
Oman,OMN,2013,535.9359218024
Oman,OMN,2014,537.5264857268
Oman,OMN,2015,558.5996722875001
Oman,OMN,2016,573.5469926698
Oman,OMN,2017,553.1735443649001
Oman,OMN,2018,556.1945623526
Oman,OMN,2019,550.4264966132
Oman,OMN,2020,536.2715370860001
Peru,PER,1965,39.47413997344
Peru,PER,1966,39.47413997344
Peru,PER,1967,44.33245184708
Peru,PER,1968,46.28076899268
Peru,PER,1969,44.9397408371
Peru,PER,1970,44.923102773020005
Peru,PER,1971,38.37081235207
Peru,PER,1972,40.131620286970005
Peru,PER,1973,43.6600498365
Peru,PER,1974,47.61158775276
Peru,PER,1975,44.170931336760006
Peru,PER,1976,46.95397703204001
Peru,PER,1977,55.78096567382
Peru,PER,1978,92.05192418999
Peru,PER,1979,116.81149205200002
Peru,PER,1980,119.1475930559
Peru,PER,1981,117.60830010280002
Peru,PER,1982,118.8822209952
Peru,PER,1983,103.91182216883
Peru,PER,1984,112.5227174208
Peru,PER,1985,114.87392573655
Peru,PER,1986,108.23961470571
Peru,PER,1987,99.8038449474
Peru,PER,1988,86.47234433706
Peru,PER,1989,79.61581045284001
Peru,PER,1990,78.70604164253001
Peru,PER,1991,70.13511431605
Peru,PER,1992,70.80080119952001
Peru,PER,1993,77.1124487893
Peru,PER,1994,77.73754049486
Peru,PER,1995,74.36916638966001
Peru,PER,1996,73.48202366294001
Peru,PER,1997,72.59547486869
Peru,PER,1998,70.12505987867
Peru,PER,1999,64.13436800401001
Peru,PER,2000,60.02271443491
Peru,PER,2001,58.58608706294
Peru,PER,2002,56.96003726386001
Peru,PER,2003,55.02941786142001
Peru,PER,2004,54.542703477900005
Peru,PER,2005,61.89304997658
Peru,PER,2006,64.43120165701
Peru,PER,2007,63.79315374766
Peru,PER,2008,66.30550914606
Peru,PER,2009,80.16630614051
Peru,PER,2010,84.63671333178002
Peru,PER,2011,81.03579187559001
Peru,PER,2012,79.84142913829001
Peru,PER,2013,85.06722433307002
Peru,PER,2014,87.70679861512001
Peru,PER,2015,76.00684165304
Peru,PER,2016,68.02169413167
Peru,PER,2017,66.2147761659
Peru,PER,2018,68.12628559428
Peru,PER,2019,71.00466108537
Peru,PER,2020,62.72169400101
Qatar,QAT,1965,134.96995812720002
Qatar,QAT,1966,168.56763008490003
Qatar,QAT,1967,187.6835468423
Qatar,QAT,1968,197.49146439160003
Qatar,QAT,1969,206.2201935359
Qatar,QAT,1970,210.2750849129
Qatar,QAT,1971,249.08618872410003
Qatar,QAT,1972,279.9731935472
Qatar,QAT,1973,330.18401765970003
Qatar,QAT,1974,300.06196689890004
Qatar,QAT,1975,253.14108021740003
Qatar,QAT,1976,282.87747982930006
Qatar,QAT,1977,251.98253985720004
Qatar,QAT,1978,280.3667799614
Qatar,QAT,1979,293.11072450510005
Qatar,QAT,1980,275.3166338894
Qatar,QAT,1981,240.6985536401
Qatar,QAT,1982,196.269197679
Qatar,QAT,1983,178.5045907415
Qatar,QAT,1984,199.4200556616
Qatar,QAT,1985,178.14629044510002
Qatar,QAT,1986,200.8679883356
Qatar,QAT,1987,177.60414008490002
Qatar,QAT,1988,205.2370443916
Qatar,QAT,1989,228.9963684398
Qatar,QAT,1990,245.6507038202
Qatar,QAT,1991,237.2872907698
Qatar,QAT,1992,274.4752359534
Qatar,QAT,1993,253.6878204734
Qatar,QAT,1994,248.2811382597
Qatar,QAT,1995,253.89716047340005
Qatar,QAT,1996,315.2198670392
Qatar,QAT,1997,386.9645230555
Qatar,QAT,1998,390.2061310911001
Qatar,QAT,1999,398.6554144791001
Qatar,QAT,2000,467.2842738227001
Qatar,QAT,2001,465.1955692026
Qatar,QAT,2002,434.172019457
Qatar,QAT,2003,509.2332799128
Qatar,QAT,2004,580.2946811049
Qatar,QAT,2005,611.2568642251001
Qatar,QAT,2006,659.2999537970001
Qatar,QAT,2007,668.2695952512
Qatar,QAT,2008,750.1879169652
Qatar,QAT,2009,725.6780191171
Qatar,QAT,2010,824.8058079776999
Qatar,QAT,2011,904.1622125831
Qatar,QAT,2012,956.4298452266
Qatar,QAT,2013,978.9092211349
Qatar,QAT,2014,970.9362227651002
Qatar,QAT,2015,944.8453063151
Qatar,QAT,2016,948.9429960921
Qatar,QAT,2017,919.7528464154
Qatar,QAT,2018,924.0445414559
Qatar,QAT,2019,903.4665234281
Qatar,QAT,2020,882.3975426243001
Romania,ROU,1965,149.10823000000002
Romania,ROU,1966,152.06225
Romania,ROU,1967,156.49328
Romania,ROU,1968,157.41205000000002
Romania,ROU,1969,157.53998
Romania,ROU,1970,159.06351
Romania,ROU,1971,163.90159
Romania,ROU,1972,167.79764000000003
Romania,ROU,1973,170.22831000000002
Romania,ROU,1974,172.54268000000002
Romania,ROU,1975,174.21740000000003
Romania,ROU,1976,175.4967
Romania,ROU,1977,174.9152
Romania,ROU,1978,164.14582
Romania,ROU,1979,147.85219
Romania,ROU,1980,139.57163
Romania,ROU,1981,141.11842
Romania,ROU,1982,142.25816
Romania,ROU,1983,140.52529
Romania,ROU,1984,138.89709
Romania,ROU,1985,130.81424
Romania,ROU,1986,123.91765
Romania,ROU,1987,116.69542
Romania,ROU,1988,114.42757000000002
Romania,ROU,1989,111.91549
Romania,ROU,1990,94.62168
Romania,ROU,1991,81.50304
Romania,ROU,1992,79.39801
Romania,ROU,1993,80.58427
Romania,ROU,1994,81.10762000000001
Romania,ROU,1995,80.84013
Romania,ROU,1996,79.68876
Romania,ROU,1997,78.50250000000001
Romania,ROU,1998,76.21139000000001
Romania,ROU,1999,74.18777
Romania,ROU,2000,73.11781
Romania,ROU,2001,72.54794000000001
Romania,ROU,2002,70.61736
Romania,ROU,2003,68.5007
Romania,ROU,2004,66.34915000000001
Romania,ROU,2005,63.232310000000005
Romania,ROU,2006,58.10348000000001
Romania,ROU,2007,55.18435
Romania,ROU,2008,54.88197000000001
Romania,ROU,2009,52.31174000000001
